gene	existing_group	repaired_reporting_group	reason_for_group_assignment	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary_if_available	downgrade_reason	upgrade_reason	human_review_required	notes
STAP2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=97	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.577	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC17A3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=98	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.617	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.995	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ITIH3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=99	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.437	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.000138	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PPP2R1B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=101	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.437	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.863	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CHST6	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=103	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.786	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TFAP2D	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=104	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ALAS1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=106	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CRYGS	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=108	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.973	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MIPOL1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=111	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.429	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TLR9	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=112	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.199	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
WNT3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=113	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CYP24A1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=115	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.161	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.245	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ARL17B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=116	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NSF	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=119	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CREBRF	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=120	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ATF6B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=121	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KLK1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=122	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.973	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HS6ST3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=123	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SFTA2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=124	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.161	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NDUFAB1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=127	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NFKBIL1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=128	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LIME1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=130	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GXYLT1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=131	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC41A1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=135	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=0.00628	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
INPPL1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=136	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SF3B1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=137	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00882	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SIK2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=139	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.199	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0057	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NUSAP1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=140	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HSPE1-MOB4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=141	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
WNT5A	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=142	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.199	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FTO	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=143	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.981	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NOTCH4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=144	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.523	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TRIM31	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=146	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FOLR2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=147	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.161	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RTF1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=148	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.27	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TRIM64C	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=150	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MOB4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=151	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NDUFAF1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=153	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0148	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SCGN	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=155	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SNRPD2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=156	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CSNK2B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=157	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.161	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.492	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GATA3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=158	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MPIG6B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=159	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.241	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HERPUD1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=160	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
EPRS1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=163	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KMT5A	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=164	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PM20D1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=169	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.268	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ARFRP1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=170	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PPP1R9B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=173	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
F11R	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=175	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.161	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KLK3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=176	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TNFRSF6B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=178	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC14A2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=181	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.728	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HOATZ	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=182	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NKAPD1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=183	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MUCL3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=184	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ABCG2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=185	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CHADL	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=186	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FKBPL	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=188	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.863	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SYT14	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=189	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.199	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00882	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SUN2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=190	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ZGPAT	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=193	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MED13	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=197	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=0.0134	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BOLL	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=198	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.098	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CDK18	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=199	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.228	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
L3MBTL2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=200	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.192	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SDHD		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=210	not_assessed; No candidate-level snRNA summary available.	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0254	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HLA-DOB		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=243	not_assessed; No candidate-level snRNA summary available.	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=0.0382	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ADD3		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=247	not_assessed; No candidate-level snRNA summary available.	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0205	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LUZP1		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=249	not_assessed; No candidate-level snRNA summary available.	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0182	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DDAH2		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=266	not_assessed; No candidate-level snRNA summary available.	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00882	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DHX16		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=278	not_assessed; No candidate-level snRNA summary available.	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=0.0366	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ARPC2		R4	MAGMA priority is present but strong snRNA context is absent or partial.	fdr05; rank=280	not_assessed; No candidate-level snRNA summary available.	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=0.0323	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
