gene	input_evidence_summary	classification_decision	why_not_higher	why_not_lower	allowed_sentence_fragment	forbidden_sentence_fragment	needs_followup_in_stage4_or_stage5
SPI1	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SPPL2C	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
STAB1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
STH	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
STMN3	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SYT14	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TBCCD1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TBX2	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TFAP2B	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TIMM8B	G4_no_MAGMA_support; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R5_TWAS_proxy_only with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	supplementary Kidney_Cortex proxy TWAS signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TMBIM1	G3_MAGMA_suggestive_or_module; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TMC4	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TMEM170A	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TNXB	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TRIOBP	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
TRPV6	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
UGT8	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
UMOD	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
UQCC5	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
USP40	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
VPS13B	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
WDR72	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
YAF2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ZCRB1	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ZFPM1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ZNF468	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ZNF512	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
